ID,y_value
consommation_elec_base100k_2024-12-01,346.0121847091485
consommation_elec_base100k_2024-12-02,346.0121847091485
consommation_elec_base100k_2024-12-03,346.0121847091485
consommation_elec_base100k_2024-12-04,346.0121847091485
consommation_elec_base100k_2024-12-05,346.0121847091485
consommation_elec_base100k_2024-12-06,346.0121847091485
consommation_elec_base100k_2024-12-07,346.0121847091485
consommation_elec_base100k_2024-12-08,346.0121847091485
consommation_elec_base100k_2024-12-09,346.0121847091485
consommation_elec_base100k_2024-12-10,346.0121847091485
consommation_elec_base100k_2024-12-11,346.0121847091485
consommation_elec_base100k_2024-12-12,346.0121847091485
consommation_elec_base100k_2024-12-13,346.0121847091485
consommation_elec_base100k_2024-12-14,346.0121847091485
consommation_elec_base100k_2024-12-15,346.0121847091485
consommation_elec_base100k_2024-12-16,346.0121847091485
consommation_elec_base100k_2024-12-17,346.0121847091485
consommation_elec_base100k_2024-12-18,346.0121847091485
consommation_elec_base100k_2024-12-19,346.0121847091485
consommation_elec_base100k_2024-12-20,346.0121847091485
consommation_elec_base100k_2024-12-21,346.0121847091485
consommation_elec_base100k_2024-12-22,346.0121847091485
consommation_elec_base100k_2024-12-23,346.0121847091485
consommation_elec_base100k_2024-12-24,346.0121847091485
consommation_elec_base100k_2024-12-25,346.0121847091485
consommation_elec_base100k_2024-12-26,346.0121847091485
consommation_elec_base100k_2024-12-27,346.0121847091485
consommation_elec_base100k_2024-12-28,346.0121847091485
consommation_elec_base100k_2024-12-29,346.0121847091485
consommation_elec_base100k_2024-12-30,346.0121847091485
consommation_elec_base100k_2024-12-31,346.0121847091485
consommation_gaz_base100k_2024-12-01,403.07462671817905
consommation_gaz_base100k_2024-12-02,403.07462671817905
consommation_gaz_base100k_2024-12-03,403.07462671817905
consommation_gaz_base100k_2024-12-04,403.07462671817905
consommation_gaz_base100k_2024-12-05,403.07462671817905
consommation_gaz_base100k_2024-12-06,403.07462671817905
consommation_gaz_base100k_2024-12-07,403.07462671817905
consommation_gaz_base100k_2024-12-08,403.07462671817905
consommation_gaz_base100k_2024-12-09,403.07462671817905
consommation_gaz_base100k_2024-12-10,403.07462671817905
consommation_gaz_base100k_2024-12-11,403.07462671817905
consommation_gaz_base100k_2024-12-12,403.07462671817905
consommation_gaz_base100k_2024-12-13,403.07462671817905
consommation_gaz_base100k_2024-12-14,403.07462671817905
consommation_gaz_base100k_2024-12-15,403.07462671817905
consommation_gaz_base100k_2024-12-16,403.07462671817905
consommation_gaz_base100k_2024-12-17,403.07462671817905
consommation_gaz_base100k_2024-12-18,403.07462671817905
consommation_gaz_base100k_2024-12-19,403.07462671817905
consommation_gaz_base100k_2024-12-20,403.07462671817905
consommation_gaz_base100k_2024-12-21,403.07462671817905
consommation_gaz_base100k_2024-12-22,403.07462671817905
consommation_gaz_base100k_2024-12-23,403.07462671817905
consommation_gaz_base100k_2024-12-24,403.07462671817905
consommation_gaz_base100k_2024-12-25,403.07462671817905
consommation_gaz_base100k_2024-12-26,403.07462671817905
consommation_gaz_base100k_2024-12-27,403.07462671817905
consommation_gaz_base100k_2024-12-28,403.07462671817905
consommation_gaz_base100k_2024-12-29,403.07462671817905
consommation_gaz_base100k_2024-12-30,403.07462671817905
