ID,date,series_name,y_value
consommation_elec_base100k_2020-01-18,2020-01-18,consommation_elec_base100k,47.383161051246006
consommation_elec_base100k_2020-01-19,2020-01-19,consommation_elec_base100k,52.52132339958655
consommation_elec_base100k_2020-01-20,2020-01-20,consommation_elec_base100k,52.23057284580958
consommation_elec_base100k_2020-01-21,2020-01-21,consommation_elec_base100k,52.529417591118246
consommation_elec_base100k_2020-01-22,2020-01-22,consommation_elec_base100k,55.48628870478301
consommation_elec_base100k_2020-01-23,2020-01-23,consommation_elec_base100k,53.296595954248055
consommation_elec_base100k_2020-01-24,2020-01-24,consommation_elec_base100k,52.40694439980399
consommation_elec_base100k_2020-01-25,2020-01-25,consommation_elec_base100k,52.833801091589294
consommation_elec_base100k_2020-01-26,2020-01-26,consommation_elec_base100k,49.98858653872895
consommation_elec_base100k_2020-01-27,2020-01-27,consommation_elec_base100k,45.923045384147
consommation_elec_base100k_2020-01-28,2020-01-28,consommation_elec_base100k,46.1937734121255
consommation_elec_base100k_2020-01-29,2020-01-29,consommation_elec_base100k,47.22197092375647
consommation_elec_base100k_2020-01-30,2020-01-30,consommation_elec_base100k,44.25745524096838
consommation_elec_base100k_2020-01-31,2020-01-31,consommation_elec_base100k,38.11865575235799
consommation_elec_base100k_2020-02-01,2020-02-01,consommation_elec_base100k,39.05640702268596
consommation_elec_base100k_2020-02-02,2020-02-02,consommation_elec_base100k,38.18706259020214
consommation_elec_base100k_2020-02-03,2020-02-03,consommation_elec_base100k,33.88351504897839
consommation_elec_base100k_2020-02-04,2020-02-04,consommation_elec_base100k,39.2732643570556
consommation_elec_base100k_2020-02-05,2020-02-05,consommation_elec_base100k,44.78016451294935
consommation_elec_base100k_2020-02-06,2020-02-06,consommation_elec_base100k,47.33676693597052
consommation_elec_base100k_2020-02-07,2020-02-07,consommation_elec_base100k,48.06820772899367
consommation_elec_base100k_2020-02-08,2020-02-08,consommation_elec_base100k,46.81822778830451
consommation_elec_base100k_2020-02-09,2020-02-09,consommation_elec_base100k,46.17072507574592
consommation_elec_base100k_2020-02-10,2020-02-10,consommation_elec_base100k,40.320903343988064
consommation_elec_base100k_2020-02-11,2020-02-11,consommation_elec_base100k,42.21520800676263
consommation_elec_base100k_2020-02-12,2020-02-12,consommation_elec_base100k,46.39911646011651
consommation_elec_base100k_2020-02-13,2020-02-13,consommation_elec_base100k,46.09193443072131
consommation_elec_base100k_2020-02-14,2020-02-14,consommation_elec_base100k,41.96341352899133
consommation_elec_base100k_2020-02-15,2020-02-15,consommation_elec_base100k,43.45718368040176
consommation_elec_base100k_2020-02-16,2020-02-16,consommation_elec_base100k,40.26251666267319
consommation_elec_base100k_2020-02-17,2020-02-17,consommation_elec_base100k,39.47593635148658
consommation_elec_base100k_2020-02-18,2020-02-18,consommation_elec_base100k,42.7441260207035
consommation_elec_base100k_2020-02-19,2020-02-19,consommation_elec_base100k,45.139717177017374
consommation_elec_base100k_2020-02-20,2020-02-20,consommation_elec_base100k,43.320796898956125
consommation_elec_base100k_2020-02-21,2020-02-21,consommation_elec_base100k,44.95277504961136
consommation_elec_base100k_2020-02-22,2020-02-22,consommation_elec_base100k,46.50864349061319
consommation_elec_base100k_2020-02-23,2020-02-23,consommation_elec_base100k,42.86597270518939
consommation_elec_base100k_2020-02-24,2020-02-24,consommation_elec_base100k,38.40588146408958
consommation_elec_base100k_2020-02-25,2020-02-25,consommation_elec_base100k,40.24930171659173
consommation_elec_base100k_2020-02-26,2020-02-26,consommation_elec_base100k,48.802809713411015
consommation_elec_base100k_2020-02-27,2020-02-27,consommation_elec_base100k,50.25633421245772
consommation_elec_base100k_2020-02-28,2020-02-28,consommation_elec_base100k,50.30247436518606
consommation_elec_base100k_2020-02-29,2020-02-29,consommation_elec_base100k,48.21824425621239
consommation_elec_base100k_2020-03-01,2020-03-01,consommation_elec_base100k,49.645607648360055
consommation_elec_base100k_2020-03-02,2020-03-02,consommation_elec_base100k,47.93294945038397
consommation_elec_base100k_2020-03-03,2020-03-03,consommation_elec_base100k,51.01240838437258
consommation_elec_base100k_2020-03-04,2020-03-04,consommation_elec_base100k,52.867008918035694
consommation_elec_base100k_2020-03-05,2020-03-05,consommation_elec_base100k,46.160630805632834
consommation_elec_base100k_2020-03-06,2020-03-06,consommation_elec_base100k,50.33279275004553
consommation_elec_base100k_2020-03-07,2020-03-07,consommation_elec_base100k,52.18657111701906
consommation_elec_base100k_2020-03-08,2020-03-08,consommation_elec_base100k,50.07900313459843
consommation_elec_base100k_2020-03-09,2020-03-09,consommation_elec_base100k,46.36510227787839
consommation_elec_base100k_2020-03-10,2020-03-10,consommation_elec_base100k,44.28563915461451
consommation_elec_base100k_2020-03-11,2020-03-11,consommation_elec_base100k,40.04719002085424
consommation_elec_base100k_2020-03-12,2020-03-12,consommation_elec_base100k,38.21534927468446
consommation_elec_base100k_2020-03-13,2020-03-13,consommation_elec_base100k,41.39908009198803
consommation_elec_base100k_2020-03-14,2020-03-14,consommation_elec_base100k,45.29131206585806
consommation_elec_base100k_2020-03-15,2020-03-15,consommation_elec_base100k,43.40643662730464
consommation_elec_base100k_2020-03-16,2020-03-16,consommation_elec_base100k,41.27344867382293
consommation_elec_base100k_2020-03-17,2020-03-17,consommation_elec_base100k,40.22187474968143
consommation_elec_base100k_2020-03-18,2020-03-18,consommation_elec_base100k,38.677711314013855
